date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-03 20:00:00,0.85705842,0.0,2.7494256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.8570584208419111,11.87003624693237,2.7494256,9.1206107,11.870036,0.0,0.0,-0.0,0.0
2011-12-03 21:00:00,0.71813793,0.0,2.5070031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.7181379314436769,10.823430900428656,2.5070031,8.3164278,10.823431,0.0,0.0,-0.0,0.0
2011-12-03 22:00:00,0.5943474,0.0,1.9866817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5943473963363395,8.577058449396294,1.9866817,6.5903767,8.5770584,0.0,0.0,-0.0,0.0
2011-12-03 23:00:00,0.44009318,0.0,1.6733063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.44009318221904836,7.224129586842711,1.6733063,5.5508233,7.2241296,0.0,0.0,-0.0,0.0
2011-12-04 00:00:00,0.3751923,0.0,0.059478509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.37519230085001637,0.25678529308816733,0.059478509,0.19730678,0.25678529,0.0,0.0,-0.0,0.0
2011-12-04 01:00:00,0.27936926,0.0,0.063770772,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.27936925700767,0.2753161905275196,0.063770772,0.21154542,0.27531619,0.0,0.0,-0.0,0.0
2011-12-04 02:00:00,0.2535923,0.0,0.068063036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.25359229784540144,0.29384708796687187,0.068063036,0.22578405,0.29384709,0.0,0.0,-0.0,0.0
2011-12-04 03:00:00,0.23871706,0.0,0.098722061,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.2387170565897049,0.42621064110510243,0.098722061,0.32748858,0.42621064,0.0,0.0,-0.0,0.0
2011-12-04 04:00:00,0.24849804,0.0,0.17843553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.24849803714139576,0.7703558792645019,0.17843553,0.59192035,0.77035588,0.0,0.0,-0.0,0.0
2011-12-04 05:00:00,0.30188589,0.0,0.40776503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.301885889319375,1.7604352567384667,0.40776503,1.3526702,1.7604353,0.0,0.0,-0.0,0.0
2011-12-04 06:00:00,0.49872812,0.0,0.50771345,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.49872812292215346,2.1919404399690983,0.50771345,1.684227,2.1919404,0.0,0.0,-0.0,0.0
2011-12-04 07:00:00,0.66077656,0.0,0.46172492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6607765559165734,1.9933951102617526,0.46172492,1.5316702,1.9933951,0.0,0.0,-0.0,0.0
2011-12-04 08:00:00,0.0,0.6935938,0.0,2.3113876,2.3113876,1.2176359,0.0,2.2176359,0.0,0.0,2.0,0.37220056,0.37220056,0.7215510861153607,1.606893535098119,0.37220056,1.234693,1.6068935,0.0,0.0,-0.0,3.0049814
2011-12-04 09:00:00,0.0,0.8735012,0.0,2.8018384,2.8018384,1.7,0.0,3.9176359,0.0,0.0,2.0,0.3679083,0.3679083,0.7339301396260944,1.5883626376587667,0.3679083,1.2204543,1.5883626,0.0,0.0,-0.0,3.6753396
2011-12-04 10:00:00,0.0,0.22027253,0.0,3.2773395,3.2773395,1.7,0.0,5.6176359,2.4,0.0,4.4,0.86801462,0.86801462,0.7093248604257472,1.3474609709471872,0.86801462,2.8794463,3.747461,0.0,0.0,-0.0,3.497612
2011-12-04 11:00:00,0.0,0.0,0.0,3.4603986,3.4603986,1.6541312,0.0,7.2717672,3.4,0.0,7.8,1.0830861,1.0830861,0.7231812495406426,1.2759846522525427,1.0830861,3.5928985,4.6759847,0.0,0.0,-0.0,3.4603986
2011-12-04 12:00:00,0.0,0.0,0.0,2.6772074,2.6772074,0.81462132,0.0,8.0863885,3.4,0.0,11.2,1.0585589,1.0585589,0.8040271669132122,1.1700938097419584,1.0585589,3.5115349,4.5700938,0.0,0.0,-0.0,2.6772074
2011-12-04 13:00:00,0.0,0.0,0.0,3.1254938,3.1254938,1.3172985,0.0,9.403687,3.4,0.0,14.6,1.0303526,1.0303526,0.7778426668946231,1.0483193408547862,1.0303526,3.4179667,4.4483193,0.0,0.0,-0.0,3.1254938
2011-12-04 14:00:00,0.0,0.0,0.0,2.2862859,2.2862859,0.59631299,0.0,10.0,3.4,0.0,18.0,1.0187022,1.0187022,0.6712707329668249,0.9980211906622585,1.0187022,3.379319,4.3980212,0.0,0.0,-0.0,2.2862859
